330,"Камчатское АП","Государственное унитарное предприятие Камчатского края «Камчатское авиационное предприятие»","Петропавловск-Камчатский(Елизово)","L-410  (5), Ан-26  (3), Ан-28  (1), Ми-8  (4), Ми-8МТВ  (1), Як-40  (2)"
140,"Катэкавиа","Общество с ограниченной ответственностью «Производственно-коммерческая фирма» «КАТЭКАВИА»","Красноярск (Емельяново)  Красноярск(Черемшанка)  Москва (Домодедово)","B-757  (9), B-767  (4)"
165,"Когалымавиа ООО","Общество с ограниченной ответственностью «Авиакомпания Когалымавиа»","Москва (Домодедово)","A-321  (7)"
174,"Комиавиатранс ОАО","Открытое акционерное общество «Комиавиатранс»","Печора  Сыктывкар  Ухта","L-410  (4), Ми-8  (20), Ми-8МТВ  (3), EMB-145LR  (4)"
419,"Конверс Авиа","Закрытое акционерное общество  «Авиационная компания Конверс Авиа»","Тверь(Змеево)","Robinson R-44  (1), Ми-2  (9), Ми-8  (14), Ми-8МТВ  (2)"
444,"Космос","ЗАО «Производственное объединение «Космос»  Ракетно-космической корпорации  «Энергия» имени С.П.Королева»","Москва (Внуково)","Ан-12  (3), Ту-134  (2), Ту-154  (1)"
489,"Костромское АП ОАО","Открытое акционерное общество «Костромское авиапредприятие»","Кострома(Сокеркино)","Ан-2  (1), Ан-26  (3), Ми-2  (3)"
484,"КрасАвиа","Государственное предприятие Красноярского края «КрасАвиа»","Байкит  Енисейск  Красноярск (Емельяново)  Красноярск(Черемшанка)  Тура (МВЛ)  Хатанга","Cessna 208  (2), L-410  (5), Ан-2  (2), Ан-24  (4), Ан-26  (4), Ан-3  (1), Ан-32  (2), Ми-8  (23), Ми-8МТВ  (4), Як-42  (5), R66  (2)"
467,"Летные  проверки и системы","Закрытое акционерное общество «Летные проверки и системы»","Тамбов (Донское)","Ан-26  (3)"
469,"ЛУКОЙЛ-АВИА ООО","Общество с ограниченной ответственностью «ЛУКОЙЛ-АВИА»","Астрахань  Москва (Шереметьево)","Ми-8МТВ  (5), Як-40  (1)"
