Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Полярный;2018;3 731;3 730;4 372;4 294;5 580;5 171;6 045;7 908;5 410;;;;
Провидения(Провидения Бухта);2018;***;***;***;***;***;***;***;***;***;;;;
Псков(Кресты);2018;***;***;***;***;***;***;***;***;***;;;;
Ростов-на-Дону;2018;0;0;0;0;0;0;0;0;0;;;;
Ростов-на-Дону(Платов);2018;***;***;***;***;***;***;***;***;***;;;;
Сабетта;2018;***;***;***;***;***;***;***;***;***;;;;
Саккырыр;2018;***;***;***;***;***;***;***;***;***;;;;
Салехард;2018;***;***;***;***;***;***;***;***;***;;;;
Самара(Курумоч);2018;191 694;169 139;190 236;208 744;273 993;344 605;356 321;335 555;304 471;;;;
Сангар;2018;***;***;***;***;***;***;***;***;***;;;;
Санкт-Петербург(Пулково);2018;1 079 174;953 908;1 144 252;1 282 383;1 576 964;1 915 565;2 103 426;2 099 021;1 861 651;;;;
Саранск;2018;***;***;***;***;***;***;***;***;***;;;;
Саратов(Центральный);2018;34 456;29 419;31 280;33 668;35 561;26 579;32 965;38 650;41 963;;;;
Саскылах;2018;***;***;***;***;***;***;***;***;***;;;;
Светлогорск;2018;***;***;***;***;***;***;***;***;***;;;;
Северо-Енисейский;2018;***;***;***;***;***;***;***;***;***;;;;
Северо-Эвенск;2018;***;***;***;***;***;***;***;***;***;;;;
Сеймчан;2018;***;***;***;***;***;***;***;***;***;;;;
Симферополь;2018;***;***;***;***;***;***;***;***;***;;;;
Снопа;2018;***;***;***;***;***;***;***;***;***;;;;
Соболево;2018;***;***;***;***;***;***;***;***;***;;;;
Советская Гавань;2018;***;***;***;***;***;***;***;***;***;;;;
Советский;2018;***;***;***;***;***;***;***;***;***;;;;
Соловки;2018;***;***;***;***;***;***;***;***;***;;;;
Сочи;2018;386 437;370 764;401 125;407 664;454 938;710 250;845 984;859 539;776 977;;;;
Среднеколымск;2018;***;***;***;***;***;***;***;***;***;;;;
Ставрополь(Шпаковское);2018;33 612;29 188;33 002;32 104;31 883;32 086;34 790;33 078;35 916;;;;
Старый Оскол;2018;***;***;***;***;***;***;***;***;***;;;;
Стрежевой;2018;***;***;***;***;***;***;3 738;3 820;3 129;;;;
Сунтар;2018;***;***;***;***;***;***;***;***;***;;;;
Сургут;2018;121 283;109 755;128 066;123 730;132 863;174 667;202 987;202 407;163 180;;;;
Сыктывкар;2018;32 540;32 292;35 647;37 544;47 196;62 944;72 843;68 460;57 317;;;;
Тазовский;2018;***;***;***;***;***;***;***;***;***;;;;
Таксимо;2018;***;***;***;***;***;***;***;***;***;;;;
Талакан;2018;***;***;***;***;***;***;***;***;***;;;;
Тамбов;2018;1 111;1 380;1 114;1 398;1 830;2 550;3 343;3 646;1 828;;;;
Тарко-Сале;2018;***;***;***;***;***;***;***;***;***;;;;
Тигиль;2018;***;***;***;***;***;***;***;***;***;;;;
Тикси;2018;776;985;1 314;1 414;1 378;1 943;1 930;2 174;1 508;;;;
Тиличики;2018;***;***;***;***;***;***;***;***;***;;;;
Тобольск;2018;***;***;***;***;***;***;***;***;***;;;;
Толька;2018;***;***;***;***;***;***;***;***;***;;;;
Томск(Богашево);2018;40 678;37 334;42 469;44 086;45 528;52 939;63 376;67 215;59 156;;;;
Тугур;2018;***;***;***;***;***;***;***;***;***;;;;
Туруханск;2018;***;***;***;***;***;***;***;***;***;;;;
Тында;2018;***;***;***;***;***;***;***;663;632;;;;
Тюмень(Плеханово);2018;***;***;***;***;***;***;***;***;***;;;;
Тюмень(Рощино);2018;125 167;116 950;139 244;139 120;159 351;197 514;229 197;229 275;191 358;;;;
Удское;2018;***;***;***;***;***;***;***;***;***;;;;
Улан-Удэ(Мухино);2018;***;***;***;***;***;***;***;***;***;;;;
Ульяновск(Баратаевка);2018;***;***;***;***;***;***;***;***;***;;;;
Ульяновск(Восточный);2018;***;***;***;***;***;***;***;***;***;;;;
Урай;2018;***;***;***;***;***;***;***;***;***;;;;
Ургалан;2018;***;***;***;***;***;***;***;***;***;;;;
Уренгой;2018;***;***;***;***;***;***;***;***;***;;;;
Усинск;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Камчатск;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Кара;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Куйга;2018;***;***;***;***;***;***;***;***;***;;;;
Усть-Кут;2018;***;***;***;***;***;***;***;***;***;;;;
