Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Николаевск-на-Амуре;2 018;4;4,41;3,41;4,2;5,91;1,8;2,1;1,79;1,82;;;;
Никольское;2 018;***;***;***;***;***;***;***;***;***;;;;
Новокузнецк;2 018;111,1;181,9;198,5;92,1;89,8;208,9;87,2;89,7;88,1;;;;
Новосибирск(Толмачево);2 018;1 340,50;1 669,40;2 134,10;2 176,70;2 136,00;1 967,40;1 919,10;2 202,00;2 027,20;;;;
Новый Уренгой;2 018;232,2;357,8;294,1;450,5;452,5;405,6;256,7;230,7;245,1;;;;
Ноглики;2 018;***;***;***;***;***;***;***;***;***;;;;
"Норильск-ООО ""Аэропорт ""Норильск""";2 018;0;0;0;0;0;0;0;0;0;;;;
"Норильск-ООО""Норильск Карго""";2 018;651,24;1 067,88;1 185,86;1 051,95;1 340,14;456,74;165,56;172,26;295,5;;;;
Ноябрьск;2 018;32,72;51,8;50,8;53,19;51,55;51,18;46,47;46,47;50,87;;;;
Нюрба;2 018;***;***;***;***;***;***;***;***;***;;;;
Нягань;2 018;***;***;***;***;***;***;***;***;***;;;;
Озерная;2 018;***;***;***;***;***;***;***;***;***;;;;
Олекминск;2 018;***;***;***;***;***;***;***;***;***;;;;
Оленек;2 018;***;***;***;***;***;***;***;***;***;;;;
Ома;2 018;***;***;***;***;***;***;***;***;***;;;;
Омолон;2 018;***;***;***;***;***;***;***;***;***;;;;
Омск(Центральный);2 018;187;230;262;265;257;269;254;272;266;;;;
Омсукчан;2 018;***;***;***;***;***;***;***;***;***;;;;
Оренбург(Центральный);2 018;93,45;101,95;104,92;102,49;97,96;95,44;96,09;106,31;109,6;;;;
Оссора;2 018;***;***;***;***;***;***;***;***;***;;;;
Оха;2 018;***;***;***;***;***;***;***;6,33;7,28;;;;
Охотск;2 018;***;***;***;***;***;***;***;59,79;51,33;;;;
Палана;2 018;***;***;***;***;***;***;***;***;***;;;;
Пахачи;2 018;***;***;***;***;***;***;***;***;***;;;;
Певек;2 018;22;72;104;78;78;67;88;79;16;;;;
Пенза;2 018;***;***;***;***;***;***;***;***;***;;;;
Пермь(Большое Савино);2 018;1,44;1,68;2,05;1,81;2,49;2,56;2,01;2,36;2,08;;;;
"Пермь(Большое Савино)-ООО ""Аэропортовый грузовой комплекс""";2 018;119,7;140,7;155,1;180,1;176,6;157,3;170,5;160,5;151,5;;;;
Петрозаводск(Бесовец);2 018;***;***;***;***;***;***;***;***;***;;;;
Петропавловск-Камчатский(Елизово);2 018;31,77;32,58;32,32;29,01;27,71;39,51;56,43;122,24;165;;;;
"Петропавловск-Камчатский(Елизово)-ООО ""Петропавловск-Камчатский авиационный грузовой терминал""";2 018;357,6;553,4;635,2;506,8;619;918,5;1 002,80;1 314,00;1 645,70;;;;
Печора;2 018;***;***;***;***;***;***;***;***;***;;;;
Пионерный;2 018;***;***;***;***;***;***;***;***;***;;;;
Пластун;2 018;***;***;***;***;***;***;***;***;***;;;;
Подкаменная Тунгуска;2 018;***;***;***;***;***;***;***;***;***;;;;
Полины Осипенко;2 018;***;***;***;***;***;***;***;***;***;;;;
Полярный;2 018;17,13;27,71;29,02;30,26;74,64;54,2;41,13;40,31;31,88;;;;
Провидения(Провидения Бухта);2 018;***;***;***;***;***;***;***;***;***;;;;
Псков(Кресты);2 018;***;***;***;***;***;***;***;***;***;;;;
Ростов-на-Дону;2 018;0;0;0;0;0;0;0;0;0;;;;
Ростов-на-Дону(Платов);2 018;***;***;***;***;***;***;***;***;***;;;;
Сабетта;2 018;***;***;***;***;***;***;***;***;***;;;;
Саккырыр;2 018;***;***;***;***;***;***;***;***;***;;;;
Салехард;2 018;***;***;***;***;***;***;***;***;***;;;;
Самара(Курумоч);2 018;180,74;220,64;225,59;237,83;244,12;218,73;224,63;218,72;220,53;;;;
Сангар;2 018;***;***;***;***;***;***;***;***;***;;;;
Санкт-Петербург(Пулково);2 018;1 791,00;1 894,00;2 057,00;2 243,00;2 246,00;2 387,00;2 108,00;2 444,00;2 467,00;;;;
Саранск;2 018;***;***;***;***;***;***;***;***;***;;;;
Саратов(Центральный);2 018;26,7;32,4;38,5;38,1;38,9;32,7;31,7;37,9;42,1;;;;
Саскылах;2 018;***;***;***;***;***;***;***;***;***;;;;
Светлогорск;2 018;***;***;***;***;***;***;***;***;***;;;;
Северо-Енисейский;2 018;***;***;***;***;***;***;***;***;***;;;;
Северо-Эвенск;2 018;***;***;***;***;***;***;***;***;***;;;;
Сеймчан;2 018;***;***;***;***;***;***;***;***;***;;;;
Симферополь;2 018;***;***;***;***;***;***;***;***;***;;;;
Снопа;2 018;***;***;***;***;***;***;***;***;***;;;;
Соболево;2 018;***;***;***;***;***;***;***;***;***;;;;
Советская Гавань;2 018;***;***;***;***;***;***;***;***;***;;;;
Советский;2 018;***;***;***;***;***;***;***;***;***;;;;
Соловки;2 018;***;***;***;***;***;***;***;***;***;;;;
